url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
19,1,1,0,0,3,0,0,1
41,1,2,0,0,3,0,0,1
18,1,1,0,0,3,0,0,1
37,0,2,0,0,3,0,0,1
41,1,3,0,0,4,0,1,1
19,0,1,0,0,3,0,0,1
55,0,2,0,11,3,0,0,1
28,1,2,0,1,3,0,0,1
39,1,2,0,2,3,0,0,1
66,0,4,0,3,5,0,1,1
51,1,2,0,0,4,0,0,1
71,1,3,0,0,4,0,1,1
37,1,2,0,3,3,0,0,1
31,1,1,0,0,3,0,0,1
41,0,2,0,1,3,0,0,1
97,0,3,0,1,5,1,1,1
35,1,2,0,0,3,0,0,1
31,1,2,0,0,3,0,0,1
43,0,2,0,1,3,0,0,1
23,1,1,0,0,3,0,0,1
37,1,2,0,2,3,0,0,1
251,0,15,0,0,4,0,1,1
52,1,2,0,7,3,0,0,1
51,1,2,0,5,3,0,0,1
38,1,2,0,3,3,0,0,1
29,0,2,0,1,3,0,0,1
34,1,2,0,0,3,0,0,1
54,1,2,0,7,3,0,0,1
56,1,2,0,10,3,0,0,1
