url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
48,1,2,0,5,3,0,0,1
37,1,2,0,1,3,0,0,1
41,1,2,0,0,4,0,0,1
33,0,2,0,0,3,0,0,1
30,1,2,0,0,3,0,0,1
29,1,2,0,0,3,0,0,1
21,0,1,0,0,3,0,0,1
23,1,2,0,0,3,0,0,1
21,1,1,0,0,3,0,0,1
39,1,2,0,3,3,0,0,1
58,1,2,0,12,3,0,0,1
56,1,2,0,4,3,0,0,1
25,1,1,0,0,4,0,0,1
39,1,1,0,0,5,0,0,1
75,1,2,0,2,4,0,0,1
32,1,2,0,0,3,0,0,1
41,1,3,0,1,3,1,1,1
97,0,1,0,7,3,0,0,1
48,0,2,0,6,3,0,0,1
49,0,2,0,0,4,0,0,1
22,1,1,0,0,3,0,0,1
57,1,2,0,0,4,0,0,1
52,1,2,0,6,3,0,0,1
181,1,2,0,1,3,0,0,1
149,1,2,0,3,3,0,0,1
31,1,1,0,0,3,0,0,1
61,0,3,0,1,3,0,1,1
28,1,2,0,0,3,0,0,1
28,1,2,0,0,3,0,0,1
48,1,2,0,0,4,0,0,1
36,1,2,0,2,3,0,0,1
42,1,2,0,1,4,0,0,1
49,0,3,0,0,5,0,1,1
45,0,2,0,6,3,0,0,1
67,1,1,0,6,5,0,0,1
20,0,1,0,0,3,0,0,1
41,1,2,0,3,3,0,0,1
122,1,4,0,4,4,0,1,1
33,1,2,0,0,3,0,0,1
